Date,Cloudiness,Temperature,Wind Speed,Weather Code
2012-01-01,8,9.8249999999999993,14,58
2012-01-02,7,7.4375,12,
2012-01-03,8,5.5374999999999996,18,63
2012-01-04,4,5.6875,19,80
2012-01-05,6,5.2999999999999998,23,80
2012-01-06,3,2.625,10,
2012-01-07,7,6.5285710000000003,14,61
2012-01-08,7,5.9625000000000004,10,80
2012-01-09,8,5.1500000000000004,12,61
2012-01-10,6,6.1124999999999998,10,
2012-01-11,6,7.8624999999999998,16,51
2012-01-12,7,7.4375,25,61
2012-01-13,2,4.7999999999999998,18,
2012-01-14,3,2.8875000000000002,10,
2012-01-15,1,2.2250000000000001,6,
2012-01-16,8,3.0625,6,61
2012-01-17,6,4.4874999999999998,10,
2012-01-18,7,2.3500000000000001,12,51
2012-01-19,8,5.2625000000000002,16,80
2012-01-20,6,3.4375,12,26
2012-01-21,7,3.5375000000000001,16,68
2012-01-22,6,3.7875000000000001,12,21
2012-01-23,5,2.2124999999999999,4,10
2012-01-24,3,1.7625,6,
2012-01-25,3,-0.1875,8,
2012-01-26,2,0.36249999999999999,12,
2012-01-27,8,-1,10,71
2012-01-28,6,-1.3875,10,10
2012-01-29,7,-3.1625000000000001,8,71
2012-01-30,3,-2.2749999999999999,12,
2012-01-31,1,-2.375,18,
2012-02-01,7,-1.825,16,71
2012-02-02,6,-5.8499999999999996,8,85
2012-02-03,4,-5.8499999999999996,14,3
2012-02-04,4,-7.5374999999999996,10,71
2012-02-05,5,-7.7125000000000004,8,
2012-02-06,4,-10.25,6,10
2012-02-07,6,-3,18,71
2012-02-08,6,-2.7625000000000002,10,
2012-02-09,6,-1.6625000000000001,21,3
2012-02-10,6,-2.8125,8,71
2012-02-11,7,-4.5750000000000002,8,78
2012-02-12,8,-1.2375,16,72
2012-02-13,6,-2.3250000000000002,8,10
2012-02-14,8,1.3,10,47
2012-02-15,1,4.8624999999999998,18,
2012-02-16,7,2.9624999999999999,10,61
2012-02-17,5,5.5625,14,
2012-02-18,8,6.1749999999999998,14,61
2012-02-19,4,4.2000000000000002,18,25
2012-02-20,5,4.1124999999999998,14,
2012-02-21,8,4.9500000000000002,14,58
2012-02-22,7,7.1749999999999998,18,51
2012-02-23,6,8.4124999999999996,18,
2012-02-24,7,8.3499999999999996,19,20
2012-02-25,6,6.5250000000000004,19,61
2012-02-26,1,4.6749999999999998,8,
2012-02-27,8,3.7250000000000001,12,61
2012-02-28,8,7.6749999999999998,14,51
2012-02-29,8,7.7750000000000004,10,47
2012-03-01,6,7.625,12,43
2012-03-02,7,5.9124999999999996,6,28
2012-03-03,5,7.0374999999999996,14,
2012-03-04,7,4.6749999999999998,8,
2012-03-05,7,4.875,10,
2012-03-06,4,4.5125000000000002,10,
2012-03-07,7,4.0499999999999998,10,61
2012-03-08,2,7.5125000000000002,14,
2012-03-09,8,7.8250000000000002,14,10
2012-03-10,6,8.6999999999999993,19,10
2012-03-11,6,8.9499999999999993,14,
2012-03-12,5,9.0124999999999993,18,
2012-03-13,6,9.9499999999999993,16,1
2012-03-14,7,7.7874999999999996,10,
2012-03-15,6,7.4000000000000004,8,
2012-03-16,3,12.0375,14,10
2012-03-17,6,9.7750000000000004,14,10
2012-03-18,7,9.8375000000000004,16,61
2012-03-19,4,8.1125000000000007,18,
2012-03-20,7,8.0875000000000004,18,51
2012-03-21,5,12.625,16,
2012-03-22,0,12.762499999999999,6,2
2012-03-23,0,13.487500000000001,6,
2012-03-24,5,7.8375000000000004,8,10
2012-03-25,0,13.137499999999999,10,1
2012-03-26,7,8.4875000000000007,8,51
2012-03-27,4,15.5,10,
2012-03-28,3,14.8375,18,5
2012-03-29,6,8.9875000000000007,19,21
2012-03-30,3,9.9625000000000004,18,1
2012-03-31,4,6.1124999999999998,19,61
2012-04-01,7,6.5250000000000004,19,25
2012-04-02,7,5.5875000000000004,16,
2012-04-03,7,3.2999999999999998,10,22
2012-04-04,7,4.5875000000000004,18,21
2012-04-05,1,5.6375000000000002,10,
2012-04-06,7,6.2000000000000002,18,61
2012-04-07,4,3.7124999999999999,19,
2012-04-08,2,5.75,10,
2012-04-09,8,6.5125000000000002,10,58
2012-04-10,8,10.5875,10,61
2012-04-11,7,10.475,12,
2012-04-12,6,9.5749999999999993,12,81
2012-04-13,7,8.7249999999999996,10,
2012-04-14,6,8.8125,8,25
2012-04-15,7,8.0749999999999993,10,21
2012-04-16,4,7.5,16,80
2012-04-17,5,8.0374999999999996,12,
2012-04-18,6,9.6125000000000007,10,
2012-04-19,2,14.237500000000001,14,
2012-04-20,6,9.2249999999999996,10,95
2012-04-21,6,12.199999999999999,10,91
2012-04-22,6,9.9875000000000007,10,80
2012-04-23,6,9.9499999999999993,10,81
2012-04-24,7,10,8,61
2012-04-25,6,11.637499999999999,12,
2012-04-26,6,14.1875,14,60
2012-04-27,5,14.925000000000001,12,25
2012-04-28,6,9.5124999999999993,18,61
2012-04-29,7,11.4625,23,
2012-04-30,3,16.237500000000001,8,
2012-05-01,5,13.4125,19,
2012-05-02,1,13.449999999999999,12,
2012-05-03,6,16.600000000000001,8,
2012-05-04,7,12.65,10,80
2012-05-05,2,10.5,8,
2012-05-06,5,8.5999999999999996,8,
2012-05-07,7,7.5750000000000002,6,61
2012-05-08,6,16.074999999999999,8,
2012-05-09,6,16.850000000000001,10,81
2012-05-10,7,17.850000000000001,12,61
2012-05-11,5,16.524999999999999,19,
2012-05-12,5,9.3874999999999993,23,80
2012-05-13,6,11.012499999999999,10,
2012-05-14,6,14.525,12,
2012-05-15,7,11.449999999999999,10,
2012-05-16,6,8.8874999999999993,19,80
2012-05-17,4,10.8125,18,3
2012-05-18,6,16.212499999999999,10,
2012-05-19,5,17.762499999999999,6,
2012-05-20,6,18.475000000000001,10,
2012-05-21,5,18.514285000000001,14,
2012-05-22,4,19.199999999999999,12,
2012-05-23,4,18.237500000000001,14,
2012-05-24,0,18.862500000000001,12,
2012-05-25,0,19.850000000000001,10,
2012-05-26,4,21.449999999999999,8,
2012-05-27,1,19.875,10,
2012-05-28,2,22.837499999999999,14,
2012-05-29,4,15.35,12,
2012-05-30,6,12.9375,14,
2012-05-31,7,13.262499999999999,10,61
2012-06-01,4,12.887499999999999,19,25
2012-06-02,4,12.4625,16,25
2012-06-03,7,12.35,12,
2012-06-04,7,13.2125,14,
2012-06-05,5,13.2125,16,25
2012-06-06,7,13.8375,10,61
2012-06-07,7,15.1875,10,51
2012-06-08,4,19.337499999999999,12,95
2012-06-09,6,14.6,14,61
2012-06-10,6,15,16,51
2012-06-11,3,16.524999999999999,8,
2012-06-12,7,14.112500000000001,6,63
2012-06-13,4,15.1625,12,
2012-06-14,6,14.050000000000001,12,
2012-06-15,7,18.3125,8,63
2012-06-16,6,18.462499999999999,10,25
2012-06-17,6,16.962499999999999,14,25
2012-06-18,6,19.587499999999999,19,95
2012-06-19,6,17.3125,6,
2012-06-20,6,17.649999999999999,12,
2012-06-21,4,18.512499999999999,16,
2012-06-22,4,18.324999999999999,14,29
2012-06-23,6,16.887499999999999,12,80
2012-06-24,8,12.875,12,63
2012-06-25,6,13.887499999999999,18,80
2012-06-26,6,14.300000000000001,18,20
2012-06-27,8,14.5625,10,
2012-06-28,6,18.262499999999999,8,
2012-06-29,6,22.75,8,95
2012-06-30,5,23.137499999999999,10,
2012-07-01,4,19.512499999999999,14,
2012-07-02,6,19.4375,10,
