"Years","CO2EQ","CO2","CH4","N2O","RF"
1765,277.01467,278.05158,721.89411,272.95961,0
1766,277.8388,278.10615,722.2557,272.97121,0.12602655
1767,278.69351,278.22039,722.97082,272.99419,0.27303147
1768,278.74752,278.34305,723.66792,273.01678,0.27887064
1769,278.79644,278.47058,724.34313,273.03903,0.24204524
1770,278.84896,278.60047,724.99526,273.06096,0.24282439
1771,278.88421,278.73275,725.62885,273.08257,0.28414227
1772,278.92512,278.86881,726.24956,273.10386,0.29985709
1773,278.99387,279.00907,726.85863,273.12486,0.29075585
1774,279.06906,279.15318,727.45484,273.14563,0.27809954
1775,279.1513,279.3018,728.03699,273.16621,0.26883905
1776,279.2424,279.4568,728.60387,273.1866,0.27685606
1777,279.34214,279.61808,729.15429,273.20677,0.30576066
1778,279.44672,279.78192,729.68703,273.22676,0.33787519
1779,279.55094,279.9432,730.2009,273.24665,0.34758091
1780,279.65007,280.0974,730.6922,273.26646,0.34167396
1781,279.71846,280.2428,731.1541,273.2862,0.33372182
1782,279.78173,280.38168,731.58425,273.30585,0.29101994
1783,279.86798,280.51832,731.98888,273.32543,0.17560532
1784,279.95858,280.6572,732.37758,273.345,0.090269194
1785,280.05821,280.8026,732.75995,273.36463,0.16245306
1786,280.16952,280.9568,733.14559,273.38432,0.28956182
1787,280.29117,281.11808,733.5441,273.40402,0.35299901
1788,280.41905,281.28192,733.96508,273.42378,0.36176885
1789,280.54845,281.4432,734.41811,273.44363,0.25105384
1790,280.67599,281.5982,734.91094,273.46365,0.088882243
1791,280.77766,281.74682,735.44542,273.48382,0.10802003
1792,280.87905,281.89093,736.01824,273.50412,0.23279865
1793,281.00453,282.03119,736.62566,273.52457,0.29457518
1794,281.12966,282.16725,737.26478,273.54523,0.29173845
1795,281.25415,282.29901,737.93271,273.56615,0.25684617
1796,281.37816,282.4268,738.62653,273.58733,0.24505257
1797,281.47794,282.55093,739.34336,273.60876,0.26205657
1798,281.57703,282.67123,740.08028,273.63046,0.27746741
1799,281.69873,282.7873,740.83442,273.65247,0.2856347
1800,281.7953,282.89901,741.60809,273.67485,0.30345983
1801,281.89146,283.00677,742.41328,273.69762,0.3258144
1802,281.96434,283.11093,743.25995,273.72076,0.32293762
1803,282.06097,283.21129,744.14594,273.74429,0.3082946
1804,282.20419,283.30737,745.06346,273.76825,0.30625174
1805,282.32288,283.39963,746.00472,273.79267,0.30554894
1806,282.41845,283.48978,746.96192,273.81758,0.29656247
1807,282.51428,283.57796,747.92726,273.84297,0.28733627
1808,282.63057,283.66116,748.89296,273.86887,-0.20660893
1809,282.73903,283.73511,749.85122,273.89529,-1.3501184
1810,282.8364,283.79676,750.79817,273.92226,-1.7519646
1811,282.90004,283.84667,751.73895,273.94981,-0.95612856
1812,282.9574,283.88853,752.68156,273.97794,-0.27918259
1813,283.03571,283.92613,753.62843,274.00668,-0.077907142
1814,283.11463,283.96267,754.57866,274.03605,-0.59896164
1815,283.17382,284.00107,755.53133,274.06606,-2.0619414
1816,283.21462,284.04267,756.48552,274.09675,-2.5631788
1817,283.25897,284.08613,757.44032,274.12813,-1.3942302
1818,283.32685,284.12853,758.39482,274.16024,-0.26564772
1819,283.4149,284.16667,759.34809,274.19306,0.18534697
1820,283.49758,284.1982,760.29954,274.22661,0.31186677
1821,283.57508,284.22333,761.24938,274.2609,0.31898449
1822,283.62677,284.24427,762.19831,274.29596,0.32152238
1823,283.65484,284.26307,763.14684,274.33183,0.32554213
1824,283.70645,284.28133,764.09528,274.3685,0.33373696
1825,283.76004,284.30027,765.04391,274.40598,0.34767769
1826,283.8156,284.32,765.99304,274.4443,0.36602933
1827,283.87272,284.34,766.94296,274.48351,0.38537657
1828,283.93097,284.36,767.89398,274.52361,0.39560049
1829,284.0128,284.38,768.84639,274.56461,0.36951757
1830,283.96219,284.4,769.79844,274.6065,0.15158463
1831,283.89979,284.385,770.74504,274.64929,-0.24271242
1832,283.8817,284.28,771.68313,274.69305,-0.35068953
1833,283.77007,284.125,772.61538,274.73779,-0.061975791
1834,283.66423,283.975,773.54693,274.78351,-0.21529972
1835,283.55955,283.825,774.4829,274.83022,-0.81911312
1836,283.36933,283.675,775.42843,274.87793,-0.73506426
1837,283.20262,283.525,776.38866,274.92669,-0.12480708
1838,283.15294,283.425,777.36871,274.97655,0.24917938
1839,283.15861,283.4,778.37371,275.02748,0.36350119
1840,283.1704,283.4,779.4118,275.07966,0.3435049
1841,283.21078,283.425,780.49406,275.13642,0.31934023
1842,283.30585,283.5,781.62403,275.2022,0.31997325
1843,283.42935,283.6,782.79322,275.27313,0.29345202
1844,283.57864,283.725,783.98863,275.3371,0.28857789
1845,283.71288,283.9,785.19726,275.38045,0.33883415
1846,283.88515,284.075,786.40611,275.3984,0.39159098
1847,284.05105,284.225,787.60219,275.4013,0.42985878
1848,284.22002,284.4,788.7725,275.40079,0.45891745
1849,284.38831,284.575,789.90404,275.40032,0.44499804
1850,284.47783,284.725,790.97924,275.42506,0.40539615
1851,284.6785,284.875,792.25,275.5,0.39862512
1852,284.4941,285,793.75,275.6,0.40052091
1853,284.2542,285.125,795.25,275.7,0.3934753
1854,284.31698,285.275,796.75,275.8,0.38414144
1855,284.37752,285.425,798,275.9,0.24282623
1856,284.48655,285.575,799.25,276,-0.21107251
1857,284.57144,285.725,800.75,276.1,-0.44449029
1858,284.75751,285.9,802.25,276.2,-0.096836341
1859,284.87162,286.075,803.75,276.3,0.26210904
1860,284.54001,286.225,805.25,276.4,0.39070948
1861,283.90984,286.375,806.75,276.5,0.35779049
1862,284.24023,286.5,808.25,276.6,0.2581144
1863,284.82703,286.625,809.75,276.7,0.26390439
1864,284.92869,286.775,811.25,276.8,0.33623394
1865,284.90678,286.9,813,276.9,0.37076405
1866,284.53849,287,814.75,277,0.3750448
1867,284.13273,287.1,816.25,277.1,0.37953974
1868,284.15643,287.225,817.75,277.2,0.40476502
1869,284.50991,287.375,819.25,277.3,0.44070511
1870,284.76049,287.525,821,277.375,0.4698686
1871,284.4221,287.7,822.75,277.425,0.46881912
1872,283.27687,287.9,824.25,277.5,0.42277264
1873,282.35666,288.125,825.75,277.6,0.36978899
1874,282.41152,288.4,827.25,277.7,0.35373474
1875,282.73787,288.7,829,277.775,0.332461
1876,283.19648,289.025,830.75,277.825,0.28830947
1877,283.93288,289.4,832.25,277.9,0.29298153
1878,284.51148,289.8,833.75,278,0.33420941
1879,284.74683,290.225,835.25,278.1,0.368246
1880,284.54128,290.7,837,278.2,0.39995496
1881,284.58021,291.2,839,278.3,0.42920523
1882,285.21573,291.675,841,278.4,0.33982025
1883,285.70213,292.125,843,278.5,-0.56353326
1884,286.0759,292.575,844.75,278.6,-1.3017754
1885,286.62046,292.975,846.25,278.7,-0.71893884
1886,287.06145,293.3,848,278.8,-0.23580858
1887,287.22534,293.575,850,278.875,-0.11721518
1888,286.96157,293.8,852,278.925,-0.016598936
1889,286.96533,294,854,279,-0.08450957
1890,287.04595,294.175,856,279.1,-0.12348587
1891,286.86678,294.325,858.25,279.2,-0.02816829
1892,286.80077,294.475,860.75,279.3,0.17145477
1893,286.76394,294.6,863,279.375,0.34036723
1894,286.66071,294.7,865,279.425,0.45854671
1895,286.45183,294.8,867.25,279.475,0.43496617
1896,286.39693,294.9,869.75,279.525,0.26290903
1897,286.48722,295.025,872,279.6,0.16316606
1898,286.5877,295.225,874.25,279.675,0.25869933
1899,286.67626,295.5,876.75,279.725,0.36799034
1900,286.79938,295.8,879.5,279.8,0.41475781
1901,286.77043,296.125,883,279.9,0.39849017
1902,286.76808,296.475,887,280,-0.041670226
1903,286.79694,296.825,891.25,280.1,-0.40336913
1904,286.84493,297.2,895.75,280.2,-0.081701345
1905,287.01406,297.625,900.25,280.3,0.28507922
1906,287.05312,298.075,904.75,280.4,0.389716
1907,287.07137,298.5,909.25,280.525,0.36949981
1908,287.53578,298.9,914,280.675,0.38664275
1909,288.17921,299.3,919,280.825,0.45257997
1910,288.48048,299.7,923.75,280.975,0.47406745
1911,288.96295,300.075,928.25,281.125,0.47502449
1912,289.66408,300.425,933,281.3,0.23787245
1913,290.20208,300.775,938.25,281.475,0.1428922
1914,290.93296,301.1,943.75,281.625,0.38792615
1915,291.78371,301.4,949.25,281.8,0.54484665
1916,292.2385,301.725,954.75,282,0.61946613
1917,292.54437,302.075,960.25,282.225,0.65507998
1918,292.99248,302.4,966,282.475,0.66254981
