Datum,Feiertag
2013-01-01,Neujahr
2013-03-29,Karfreitag
2013-03-31,Ostern
2013-04-01,Ostermontag
2013-05-01,Maifeiertag
2013-05-09,Christi Himmelfahrt
2013-05-20,Pfingstmontag
2013-10-03,Tag der Deutschen Einheit
2013-10-31,Reformationstag
2013-12-01,1. Advent
2013-12-08,2. Advent
2013-12-15,3. Advent
2013-12-22,4. Advent
2013-12-24,Heiligabend
2013-12-25,1. Weihnachtstag
2013-12-26,2. Weihnachtstag
2013-12-31,Silvester
2014-01-01,Neujahr
2014-04-18,Karfreitag
2014-04-20,Ostern
2014-04-21,Ostermontag
2014-05-01,Maifeiertag
2014-05-29,Christi Himmelfahrt
2014-06-09,Pfingstmontag
2014-10-03,Tag der Deutschen Einheit
2014-10-31,Reformationstag
2014-11-30,1. Advent
2014-12-07,2. Advent
2014-12-14,3. Advent
2014-12-21,4. Advent
2014-12-24,Heiligabend
2014-12-25,1. Weihnachtstag
2014-12-26,2. Weihnachtstag
2014-12-31,Silvester
2015-01-01,Neujahr
2015-04-03,Karfreitag
2015-04-05,Ostern
2015-04-06,Ostermontag
2015-05-01,Maifeiertag
2015-05-14,Christi Himmelfahrt
2015-05-25,Pfingstmontag
2015-10-03,Tag der Deutschen Einheit
2015-10-31,Reformationstag
2015-11-29,1. Advent
2015-12-06,2. Advent
2015-12-13,3. Advent
2015-12-20,4. Advent
2015-12-24,Heiligabend
2015-12-25,1. Weihnachtstag
2015-12-26,2. Weihnachtstag
2015-12-31,Silvester
2016-01-01,Neujahr
2016-03-25,Karfreitag
2016-03-27,Ostern
2016-03-28,Ostermontag
2016-05-01,Maifeiertag
2016-05-05,Christi Himmelfahrt
2016-05-16,Pfingstmontag
2016-10-03,Tag der Deutschen Einheit
2016-10-31,Reformationstag
2016-11-27,1. Advent
2016-12-04,2. Advent
2016-12-11,3. Advent
2016-12-18,4. Advent
2016-12-24,Heiligabend
2016-12-25,1. Weihnachtstag
2016-12-26,2. Weihnachtstag
2016-12-31,Silvester
2017-01-01,Neujahr
2017-04-14,Karfreitag
2017-04-16,Ostern
2017-04-17,Ostermontag
2017-05-01,Maifeiertag
2017-05-25,Christi Himmelfahrt
2017-06-05,Pfingstmontag
2017-10-03,Tag der Deutschen Einheit
2017-10-31,Reformationstag
2017-12-03,1. Advent
2017-12-10,2. Advent
2017-12-17,3. Advent
2017-12-24,Heiligabend
2017-12-24,4. Advent
2017-12-25,1. Weihnachtstag
2017-12-26,2. Weihnachtstag
2017-12-31,Silvester
2018-01-01,Neujahr
2018-03-30,Karfreitag
2018-04-01,Ostern
2018-04-02,Ostermontag
2018-05-01,Maifeiertag
2018-05-10,Christi Himmelfahrt
2018-05-21,Pfingstmontag
2018-10-03,Tag der Deutschen Einheit
2018-10-31,Reformationstag
2018-12-02,1. Advent
2018-12-09,2. Advent
2018-12-16,3. Advent
2018-12-23,4. Advent
2018-12-24,Heiligabend
2018-12-25,1. Weihnachtstag
2018-12-26,2. Weihnachtstag
2018-12-31,Silvester
2019-01-01,Neujahr
2019-04-19,Karfreitag
2019-04-21,Ostern
2019-04-22,Ostermontag
2019-05-01,Maifeiertag
2019-05-30,Christi Himmelfahrt
2019-06-10,Pfingstmontag
2019-10-03,Tag der Deutschen Einheit
2019-10-31,Reformationstag
2019-12-01,1. Advent
2019-12-08,2. Advent
2019-12-15,3. Advent
2019-12-22,4. Advent
2019-12-24,Heiligabend
2019-12-25,1. Weihnachtstag
2019-12-26,2. Weihnachtstag
2019-12-31,Silvester
