Stationscode;Datum;Feinstaub (PM₁₀) stündlich gleitendes Tagesmittel in µg/m³;Ozon (O₃) EinStundenMittelwert in µg/m³;Stickstoffdioxid (NO₂) EinStundenMittelwert in µg/m³;Luftqualitätsindex
DESH027;'01.01.2016 01:00';32;;38;gut
DESH027;'01.01.2016 02:00';34;;39;gut
DESH027;'01.01.2016 03:00';37;;39;mäßig
DESH027;'01.01.2016 04:00';37;;30;mäßig
DESH027;'01.01.2016 05:00';39;;34;mäßig
DESH027;'01.01.2016 06:00';42;;39;mäßig
DESH027;'01.01.2016 07:00';45;;37;mäßig
DESH027;'01.01.2016 08:00';47;;31;mäßig
DESH027;'01.01.2016 09:00';48;;31;mäßig
DESH027;'01.01.2016 10:00';49;;27;mäßig
DESH027;'01.01.2016 11:00';50;;33;mäßig
DESH027;'01.01.2016 12:00';51;;29;schlecht
DESH027;'01.01.2016 13:00';52;;36;schlecht
DESH027;'01.01.2016 14:00';53;;44;schlecht
DESH027;'01.01.2016 15:00';54;;47;schlecht
DESH027;'01.01.2016 16:00';55;;48;schlecht
DESH027;'01.01.2016 17:00';56;;49;schlecht
DESH027;'01.01.2016 18:00';57;;36;schlecht
DESH027;'01.01.2016 19:00';57;;41;schlecht
DESH027;'01.01.2016 20:00';58;;32;schlecht
DESH027;'01.01.2016 21:00';58;;31;schlecht
DESH027;'01.01.2016 22:00';59;;31;schlecht
DESH027;'01.01.2016 23:00';60;;24;schlecht
DESH027;'01.01.2016 24:00';60;;16;schlecht
DESH027;'02.01.2016 01:00';57;;17;schlecht
DESH027;'02.01.2016 02:00';56;;16;schlecht
DESH027;'02.01.2016 03:00';54;;13;schlecht
DESH027;'02.01.2016 04:00';53;;10;schlecht
DESH027;'02.01.2016 05:00';52;;8;schlecht
DESH027;'02.01.2016 06:00';48;;8;mäßig
DESH027;'02.01.2016 07:00';45;;5;mäßig
DESH027;'02.01.2016 08:00';43;;7;mäßig
DESH027;'02.01.2016 09:00';42;;6;mäßig
DESH027;'02.01.2016 10:00';41;;10;mäßig
DESH027;'02.01.2016 11:00';41;;17;mäßig
DESH027;'02.01.2016 12:00';41;;15;mäßig
DESH027;'02.01.2016 13:00';42;;15;mäßig
DESH027;'02.01.2016 14:00';42;;15;mäßig
DESH027;'02.01.2016 15:00';42;;17;mäßig
DESH027;'02.01.2016 16:00';42;;20;mäßig
DESH027;'02.01.2016 17:00';42;;15;mäßig
DESH027;'02.01.2016 18:00';41;;15;mäßig
DESH027;'02.01.2016 19:00';41;;13;mäßig
DESH027;'02.01.2016 20:00';40;;11;mäßig
DESH027;'02.01.2016 21:00';39;;10;mäßig
DESH027;'02.01.2016 22:00';37;;8;mäßig
DESH027;'02.01.2016 23:00';36;;8;mäßig
DESH027;'02.01.2016 24:00';35;;8;gut
DESH027;'03.01.2016 01:00';34;;9;gut
DESH027;'03.01.2016 02:00';33;;7;gut
DESH027;'03.01.2016 03:00';33;;7;gut
DESH027;'03.01.2016 04:00';33;;7;gut
DESH027;'03.01.2016 05:00';33;;8;gut
DESH027;'03.01.2016 06:00';34;;8;gut
DESH027;'03.01.2016 07:00';35;;8;gut
DESH027;'03.01.2016 08:00';35;;8;gut
DESH027;'03.01.2016 09:00';36;;8;mäßig
DESH027;'03.01.2016 10:00';37;;11;mäßig
DESH027;'03.01.2016 11:00';37;;15;mäßig
