Datum,Warengruppe,Umsatz
2015-01-02,1,174.420475489711
2015-01-03,1,142.262598678739
2015-01-05,1,216.601235977588
2015-01-06,1,183.129788324737
2015-01-07,1,143.595920666262
2015-01-08,1,146.133983754836
2015-01-09,1,142.599727114646
2015-01-10,1,93.4881017602191
2015-01-12,1,143.50730300807
2015-01-13,1,158.77327985703
2015-01-14,1,151.73855802094
2015-01-15,1,131.000355864285
2015-01-16,1,149.29754059571
2015-01-17,1,136.81281738334
2015-01-19,1,244.401004679015
2015-01-20,1,180.334275399335
2015-01-21,1,146.623109422238
2015-01-22,1,164.025357106167
2015-01-23,1,163.568142793559
2015-01-24,1,124.298707029125
2015-01-26,1,213.982141293629
2015-01-27,1,187.221638994395
2015-01-28,1,168.587351782025
2015-01-29,1,106.017883222445
2015-01-30,1,160.236882118794
2015-01-31,1,167.323627635337
2015-02-02,1,222.835150712719
2015-02-03,1,172.468293050147
2015-02-04,1,179.129949302491
2015-02-05,1,164.050151415926
2015-02-06,1,185.696446340839
2015-02-07,1,142.367708984362
2015-02-09,1,249.42678711703
2015-02-10,1,190.686188323335
2015-02-11,1,160.291416701554
2015-02-12,1,195.45399714693
2015-02-13,1,142.488345976715
2015-02-14,1,185.60808083087
2015-02-16,1,234.82363828953
2015-02-17,1,159.299515439541
2015-02-18,1,130.99295983406
2015-02-19,1,193.375788650061
2015-02-20,1,160.55008859117
2015-02-21,1,124.905827898721
2015-02-23,1,172.806266172481
2015-02-24,1,164.098109858507
2015-02-25,1,127.241331777786
2015-02-26,1,172.867009035704
2015-02-27,1,172.005140113755
2015-02-28,1,211.599394569316
2015-03-01,1,58.5332486209965
2015-03-02,1,175.848920544459
2015-03-03,1,148.214810923162
2015-03-04,1,148.477215074388
2015-03-05,1,160.274728183466
2015-03-06,1,147.101705203582
2015-03-07,1,136.626986294045
2015-03-09,1,201.167364665189
2015-03-10,1,167.805202788287
2015-03-11,1,139.82397104609
2015-03-12,1,166.422808819128
2015-03-13,1,150.716042400649
2015-03-14,1,163.758709164811
2015-03-16,1,260.217113953504
2015-03-17,1,208.569211202619
2015-03-18,1,192.609609014723
2015-03-19,1,182.809614859561
2015-03-20,1,193.088054450776
2015-03-21,1,153.710248219161
2015-03-23,1,198.597098023856
2015-03-24,1,245.896761051823
2015-03-25,1,191.889348103902
2015-03-26,1,181.946079416489
2015-03-27,1,208.574567122782
2015-03-28,1,170.352005644329
2015-03-30,1,211.291813005865
2015-03-31,1,188.050599368324
2015-04-01,1,120.355944041715
2015-04-02,1,282.523517874407
2015-04-04,1,315.430400641747
2015-04-05,1,96.7373078995303
2015-04-07,1,203.388802073372
2015-04-08,1,157.603906159439
2015-04-09,1,141.182523568334
2015-04-10,1,152.796818101512
2015-04-11,1,176.330646741988
2015-04-13,1,181.786688583307
2015-04-14,1,169.313650730364
2015-04-15,1,166.018484874013
2015-04-16,1,118.628029109821
2015-04-17,1,156.5157368321
2015-04-18,1,143.926871990086
2015-04-20,1,218.84192901582
2015-04-21,1,181.382685735857
2015-04-22,1,179.688563068609
2015-04-23,1,137.926691045265
2015-04-24,1,134.240347406919
2015-04-25,1,127.821932155976
2015-04-27,1,213.416805578405
2015-04-28,1,175.031532747905
2015-04-29,1,174.602861588683
2015-04-30,1,173.475521417648
2015-05-02,1,197.750832705334
2015-05-03,1,100.873568103274
2015-05-04,1,254.649700254896
2015-05-05,1,177.122575249385
2015-05-06,1,181.534484628476
2015-05-07,1,151.486690857065
2015-05-08,1,134.530515831229
2015-05-09,1,132.063204743886
2015-05-11,1,217.830691973878
2015-05-12,1,147.745568061972
2015-05-13,1,181.518487200934
2015-05-15,1,192.639281021711
2015-05-16,1,147.633699968253
2015-05-18,1,228.68818084028
2015-05-19,1,164.918525775885
2015-05-20,1,205.413016389675
2015-05-21,1,144.745541026616
2015-05-22,1,136.96567422353
2015-05-23,1,193.200618807168
2015-05-26,1,239.036442430119
2015-05-27,1,171.585145008502
2015-05-28,1,141.968307084323
2015-05-29,1,121.70965960327
2015-05-30,1,126.420941634937
2015-06-01,1,211.52532523093
2015-06-02,1,163.845321677508
2015-06-03,1,181.772189299515
2015-06-04,1,154.99867820707
2015-06-05,1,118.118613479749
2015-06-06,1,118.178183158044
2015-06-07,1,108.858103299842
2015-06-08,1,115.358054091829
2015-06-09,1,180.308614228549
2015-06-10,1,158.211156700485
2015-06-11,1,164.036966769775
2015-06-12,1,118.102358304043
2015-06-13,1,136.849914298155
2015-06-15,1,245.524350485512
2015-06-16,1,161.726897027026
2015-06-17,1,129.977510310278
2015-06-18,1,168.697554371976
2015-06-19,1,132.682241685679
2015-06-20,1,178.372186462834
2015-06-21,1,148.279054862253
2015-06-22,1,250.872701815598
2015-06-23,1,152.830583187273
2015-06-24,1,188.227409384366
2015-06-25,1,187.066981330697
2015-06-26,1,214.264759048889
2015-06-27,1,183.441293713414
2015-06-29,1,215.524838013387
2015-06-30,1,153.038623261538
2015-07-01,1,140.710963377908
2015-07-02,1,138.689374105218
2015-07-03,1,142.844719639236
2015-07-04,1,152.658439573897
2015-07-05,1,74.0063197435728
2015-07-06,1,219.868603244939
2015-07-07,1,154.972309603941
2015-07-08,1,133.354028527976
2015-07-09,1,162.198332859828
2015-07-10,1,142.372656244588
2015-07-11,1,159.666031226761
2015-07-13,1,228.272630574568
2015-07-14,1,166.679730445934
2015-07-15,1,176.350178932663
2015-07-16,1,136.704165458381
2015-07-17,1,160.583735929745
2015-07-18,1,153.939392393291
2015-07-20,1,215.447728961443
2015-07-21,1,288.760477285221
2015-07-22,1,183.343094434189
2015-07-23,1,212.783046354832
2015-07-24,1,197.25305994371
2015-07-25,1,150.651033552853
2015-07-27,1,234.6015533021
2015-07-28,1,203.169875627314
2015-07-29,1,176.100189778768
2015-07-30,1,201.621131217183
2015-07-31,1,237.399338792521
2015-08-01,1,190.89784624117
2015-08-02,1,88.1133659292733
2015-08-03,1,234.472410203762
2015-08-04,1,163.763101577168
2015-08-05,1,193.624174703219
2015-08-06,1,192.198920371071
2015-08-07,1,174.18801952199
2015-08-08,1,171.222312441214
2015-08-10,1,171.657354451674
2015-08-11,1,161.755700842361
2015-08-12,1,207.328137699753
2015-08-13,1,183.204615463853
2015-08-14,1,145.767705455377
2015-08-15,1,155.635158390207
2015-08-17,1,178.977255211259
2015-08-18,1,184.066616049414
2015-08-19,1,150.251199585495
2015-08-20,1,166.345069271818
2015-08-21,1,169.802550980126
2015-08-22,1,100.345279210575
2015-08-24,1,192.81457553648
2015-08-25,1,158.730997928013
2015-08-26,1,145.380650462761
2015-08-27,1,184.202064999335
2015-08-28,1,214.141499862823
2015-08-29,1,161.652045256459
2015-08-31,1,193.827540745246
2015-09-01,1,190.619496348309
2015-09-02,1,162.626736150612
2015-09-03,1,205.651206411624
2015-09-04,1,191.283689752551
2015-09-05,1,162.534562148879
2015-09-06,1,117.346933720328
2015-09-07,1,216.232173643458
2015-09-08,1,156.615688047857
2015-09-09,1,181.079918902459
2015-09-10,1,135.652256790187
2015-09-11,1,168.053130856225
2015-09-12,1,125.134580088016
2015-09-14,1,228.539842497851
2015-09-15,1,176.26963025958
2015-09-16,1,194.810570338679
2015-09-17,1,175.496586901023
2015-09-18,1,192.976517244377
2015-09-19,1,158.135129434505
2015-09-21,1,199.364635852074
2015-09-22,1,167.734970832594
2015-09-23,1,160.740966273691
2015-09-24,1,173.58168074559
2015-09-25,1,169.388654764916
2015-09-26,1,142.255298117817
2015-09-27,1,88.5983069454388
2015-09-28,1,174.923027263999
2015-09-29,1,182.402536681773
2015-09-30,1,164.207619718565
2015-10-01,1,185.994707531141
2015-10-02,1,221.956238320316
2015-10-03,1,224.735157731572
2015-10-05,1,251.668439218897
2015-10-06,1,254.147258268036
2015-10-07,1,197.229567922309
2015-10-08,1,247.4564703455
2015-10-09,1,279.840052578976
2015-10-10,1,228.719243327135
2015-10-12,1,225.979719727627
2015-10-13,1,220.278152729224
2015-10-14,1,260.785935933659
2015-10-15,1,169.315310452582
2015-10-16,1,185.231647696655
2015-10-17,1,172.422185875449
2015-10-19,1,216.593050607589
2015-10-20,1,219.218898440763
2015-10-21,1,175.495928062535
2015-10-22,1,193.245306649052
2015-10-23,1,200.175507315701
2015-10-24,1,210.687752556097
2015-10-26,1,200.117666609576
2015-10-27,1,207.375602494545
2015-10-28,1,167.500878991004
2015-10-29,1,145.09366999463
2015-10-30,1,206.369054498376
2015-10-31,1,166.752964054014
2015-11-02,1,244.595498414745
2015-11-03,1,169.5914239674
2015-11-04,1,192.960270091716
2015-11-05,1,173.526615517303
2015-11-06,1,161.932427766307
2015-11-07,1,126.689884393463
2015-11-08,1,130.042469673869
2015-11-09,1,189.42595364
2015-11-10,1,143.377664781929
2015-11-11,1,131.519967373522
2015-11-12,1,116.950274626123
2015-11-13,1,158.71345215858
2015-11-14,1,140.358672753735
2015-11-16,1,174.869245081903
2015-11-17,1,162.222594023163
2015-11-18,1,191.390032524239
2015-11-19,1,119.132705532106
2015-11-20,1,142.103027329827
2015-11-21,1,152.13953742561
2015-11-23,1,189.771777243608
2015-11-24,1,181.034892796737
2015-11-25,1,183.261778599891
2015-11-26,1,168.423086774175
2015-11-27,1,164.022925816638
2015-11-28,1,206.262796094895
2015-11-30,1,205.964846741494
2015-12-01,1,181.303797964864
2015-12-02,1,235.001765533867
2015-12-03,1,174.666331680763
2015-12-04,1,203.574582528474
2015-12-05,1,193.166115656946
2015-12-07,1,233.041923507805
2015-12-08,1,160.865558360323
2015-12-09,1,168.163075661497
2015-12-10,1,156.160647797482
2015-12-11,1,126.968611653823
2015-12-12,1,167.535842593129
2015-12-14,1,226.604117192494
2015-12-15,1,193.283620488311
2015-12-16,1,202.788880663135
2015-12-17,1,157.006354760908
2015-12-18,1,203.209374376838
2015-12-19,1,190.581233752773
2015-12-21,1,160.61459755481
2015-12-22,1,173.268785131217
2015-12-23,1,163.205264167847
2015-12-24,1,177.972072037751
2015-12-28,1,220.870972583285
2015-12-29,1,157.029618627524
2015-12-30,1,177.2026836503
2015-12-31,1,170.856088141148
2016-01-02,1,168.527180591055
2016-01-03,1,98.6635402012075
2016-01-04,1,166.462677533862
2016-01-05,1,153.615438052391
2016-01-06,1,175.46785155249
2016-01-07,1,114.185100120112
2016-01-08,1,119.862560627041
2016-01-09,1,174.769519404148
2016-01-11,1,174.11461741849
2016-01-12,1,145.61071669121
2016-01-13,1,171.894517387328
2016-01-14,1,160.881155845847
2016-01-15,1,136.716089467077
2016-01-16,1,151.469305614378
2016-01-18,1,211.53676256944
2016-01-19,1,179.455434712021
2016-01-20,1,144.083051339766
2016-01-21,1,164.702104088574
2016-01-22,1,144.473788130103
2016-01-23,1,122.935925782589
2016-01-25,1,217.418641722024
2016-01-26,1,168.416640936152
2016-01-27,1,117.026204234769
2016-01-28,1,153.79434763643
2016-01-29,1,149.022499207657
2016-01-30,1,120.837270217497
2016-02-01,1,162.911453816549
2016-02-02,1,196.44590107817
2016-02-03,1,186.664927530744
2016-02-04,1,180.769986023484
2016-02-05,1,186.820665409592
2016-02-06,1,150.478636663765
2016-02-08,1,183.65114783549
2016-02-09,1,179.742869627914
2016-02-10,1,195.928566875011
2016-02-11,1,196.714916833294
2016-02-12,1,148.934950381139
2016-02-13,1,163.060644785203
2016-02-15,1,203.693094800122
2016-02-16,1,177.318350181748
2016-02-17,1,170.528066085488
2016-02-18,1,144.140171127898
2016-02-19,1,159.456040738744
2016-02-20,1,121.476510493205
2016-02-22,1,139.9479142673
2016-02-23,1,150.566528025476
2016-02-24,1,138.813762567759
2016-02-25,1,142.517346047463
2016-02-26,1,183.017018771613
2016-02-27,1,118.986081042025
2016-02-29,1,193.879521474412
2016-03-01,1,193.999790164771
2016-03-02,1,164.472600074116
2016-03-03,1,119.579000884614
2016-03-04,1,156.696911823497
2016-03-05,1,141.026313223084
2016-03-06,1,126.912171162961
2016-03-07,1,248.886571198057
2016-03-08,1,240.125833301701
2016-03-09,1,208.791547363506
2016-03-10,1,183.563992269407
2016-03-11,1,176.690226045601
2016-03-12,1,166.739125465187
2016-03-14,1,283.662696221568
2016-03-15,1,146.899890995868
2016-03-16,1,140.214002760417
2016-03-17,1,206.22709593154
2016-03-18,1,140.331844247257
2016-03-19,1,187.306416589479
2016-03-21,1,225.351021878352
2016-03-22,1,202.587604915465
2016-03-23,1,166.40768623007
2016-03-24,1,243.960412679013
2016-03-26,1,288.329676384332
2016-03-29,1,188.643777177421
2016-03-30,1,163.059908935343
2016-03-31,1,158.300798885812
2016-04-01,1,170.168846058917
2016-04-02,1,115.202981771134
2016-04-03,1,63.3177926748567
2016-04-04,1,135.743876983386
2016-04-05,1,140.526552930245
2016-04-06,1,161.374434473813
2016-04-07,1,116.161544498746
2016-04-08,1,113.867893224087
2016-04-09,1,135.115012090147
2016-04-11,1,232.767837089801
2016-04-12,1,249.930582212454
2016-04-13,1,178.863069805443
2016-04-14,1,182.968604920298
2016-04-15,1,175.369739715098
2016-04-16,1,144.388500370474
2016-04-18,1,171.457507062694
2016-04-19,1,181.058660788681
2016-04-20,1,195.443706852551
2016-04-21,1,170.844498446678
2016-04-22,1,172.638213840357
2016-04-23,1,154.214667818544
2016-04-25,1,182.637672191952
2016-04-26,1,177.312839086958
2016-04-27,1,140.907994468755
2016-04-28,1,176.463652060226
2016-04-29,1,141.648015288794
2016-04-30,1,114.753751716319
2016-05-01,1,97.5332026459051
2016-05-02,1,195.92389225814
2016-05-03,1,134.420913595421
2016-05-04,1,185.403742514005
2016-05-06,1,116.929040745892
2016-05-07,1,135.846124368071
2016-05-09,1,183.880536259754
2016-05-10,1,157.989391450294
2016-05-11,1,157.990766566595
2016-05-12,1,119.72273550963
2016-05-13,1,166.708663434882
2016-05-14,1,141.058188362385
2016-05-17,1,236.68098088511
2016-05-18,1,165.584039812136
2016-05-19,1,166.124994448045
2016-05-20,1,153.752376627074
2016-05-21,1,133.793357865671
2016-05-23,1,187.470642289422
2016-05-24,1,152.482469020702
2016-05-25,1,177.790068409389
2016-05-26,1,149.298698958215
2016-05-27,1,154.288022758942
2016-05-28,1,151.407305211916
2016-05-30,1,150.400175063866
2016-05-31,1,147.662255091624
2016-06-01,1,181.172978736816
2016-06-02,1,136.55023720841
2016-06-03,1,138.091935295973
2016-06-04,1,129.41441593544
2016-06-05,1,82.6939449755568
2016-06-06,1,176.799710169695
2016-06-07,1,156.965577855783
2016-06-08,1,145.395045098622
2016-06-09,1,176.710115649433
2016-06-10,1,111.680319113458
2016-06-11,1,166.472964463665
2016-06-13,1,194.212709796356
2016-06-14,1,162.168164948873
2016-06-15,1,124.610070110151
2016-06-16,1,151.095842112765
2016-06-17,1,179.323779651785
2016-06-18,1,174.25750671971
2016-06-19,1,93.0269041990004
2016-06-20,1,201.772103269223
2016-06-21,1,214.093467347651
2016-06-22,1,141.637690856739
2016-06-23,1,151.292292254483
2016-06-24,1,166.567030397895
2016-06-25,1,148.703171961453
2016-06-26,1,110.133152618682
2016-06-27,1,221.928960466328
2016-06-28,1,162.278241280972
2016-06-29,1,148.065568006575
2016-06-30,1,178.345155032557
2016-07-01,1,169.361382848246
2016-07-02,1,176.535555601479
2016-07-03,1,94.2193426119598
2016-07-04,1,195.257766155955
2016-07-05,1,205.045301008172
2016-07-06,1,198.237283149531
2016-07-08,1,138.961619427056
2016-07-09,1,141.440756493754
2016-07-11,1,182.582611979439
2016-07-12,1,157.506281011205
2016-07-13,1,155.661376987221
2016-07-14,1,198.333642583794
2016-07-15,1,155.377263508795
2016-07-16,1,142.28628931182
2016-07-19,1,159.80360649522
2016-07-20,1,153.288257914563
2016-07-21,1,119.01732865021
2016-07-22,1,87.4912695192076
2016-07-23,1,125.195348813315
2016-07-25,1,204.319814682048
